order,seasonal_order,log_likelihood,AIC,BIC,converged,error
"(2, 1, 2)","(0, 0, 0, 0)",-24969.409040511375,49950.81808102275,49985.8882275262,True,
"(0, 1, 2)","(0, 0, 0, 0)",-24988.10723956678,49984.21447913356,50007.59457680253,True,
"(2, 1, 1)","(0, 0, 0, 0)",-24988.88573686831,49987.77147373662,50016.998553919584,True,
"(1, 1, 2)","(0, 0, 0, 0)",-25002.49067027773,50014.98134055546,50044.20646264167,True,
"(2, 0, 2)","(0, 0, 0, 0)",-25087.487115544394,50186.97423108879,50222.04672730834,True,
"(1, 0, 2)","(0, 0, 0, 0)",-25136.929062606556,50283.85812521311,50313.08520539608,True,
"(1, 1, 1)","(0, 0, 0, 0)",-25145.90735230352,50299.81470460704,50323.19636875341,True,
"(2, 1, 0)","(0, 0, 0, 0)",-25291.708663761085,50591.41732752217,50614.79899166854,True,
"(1, 0, 1)","(0, 0, 0, 0)",-25293.30967294737,50594.61934589474,50618.00257590529,True,
"(2, 0, 0)","(0, 0, 0, 0)",-25298.80351460355,50605.6070292071,50628.99025921765,True,
"(2, 0, 1)","(0, 0, 0, 0)",-25309.85261232627,50629.70522465254,50658.934262165734,True,
"(1, 0, 0)","(0, 0, 0, 0)",-25319.708242309673,50645.416484619345,50662.95508106584,True,
"(0, 1, 1)","(0, 0, 0, 0)",-25434.324263065282,50874.648526130564,50892.18477424034,True,
"(0, 1, 0)","(0, 0, 0, 0)",-25445.613629235835,50895.22725847167,50906.91887347695,True,
"(1, 1, 0)","(0, 0, 0, 0)",-25445.08985405029,50896.17970810058,50913.71713060849,True,
"(0, 0, 2)","(0, 0, 0, 0)",-25686.479776000746,51380.95955200149,51404.34121614786,True,
"(0, 0, 1)","(0, 0, 0, 0)",-25843.94144347663,51693.88288695326,51711.42030946117,True,
"(0, 0, 0)","(0, 0, 0, 0)",-26610.459589039987,53224.919178079974,53236.611575710966,True,
