order,seasonal_order,log_likelihood,AIC,BIC,converged,error
"(2, 1, 2)","(0, 0, 0, 0)",-22119.843472655804,44315.68694531161,44537.79787316678,True,
"(1, 1, 2)","(0, 0, 0, 0)",-22124.393678235247,44322.78735647049,44539.053259908425,True,
"(2, 1, 1)","(0, 0, 0, 0)",-22150.348621154422,44374.697242308845,44590.97763566277,True,
"(0, 1, 2)","(0, 0, 0, 0)",-22201.751209624163,44475.502419248325,44685.923298269016,True,
"(2, 1, 0)","(0, 0, 0, 0)",-22204.721211535456,44481.44242307091,44691.87740038824,True,
"(1, 1, 1)","(0, 0, 0, 0)",-22227.322756267804,44526.64551253561,44737.08048985294,True,
"(0, 1, 1)","(0, 0, 0, 0)",-22235.753060440362,44541.506120880724,44746.09568216146,True,
"(1, 1, 0)","(0, 0, 0, 0)",-22251.628838956,44573.257677912,44777.860940504324,True,
"(0, 1, 0)","(0, 0, 0, 0)",-22269.98293705735,44607.9658741147,44806.72332920438,True,
"(2, 0, 2)","(0, 0, 0, 0)",-24876.962748043177,49829.925496086355,50052.05130547687,True,
"(1, 0, 2)","(0, 0, 0, 0)",-24888.76655068001,49851.53310136002,50067.81349471395,True,
"(1, 0, 1)","(0, 0, 0, 0)",-24898.053060382605,49868.10612076521,50078.55519086017,True,
"(2, 0, 0)","(0, 0, 0, 0)",-24898.113723376322,49868.227446752644,50078.676516847605,True,
"(2, 0, 1)","(0, 0, 0, 0)",-24898.03571946628,49870.07143893256,50086.366316530155,True,
"(1, 0, 0)","(0, 0, 0, 0)",-24911.615729395904,49893.23145879181,50097.848417334215,True,
"(0, 0, 2)","(0, 0, 0, 0)",-25336.668972620697,50745.337945241394,50955.772922558725,True,
"(0, 0, 1)","(0, 0, 0, 0)",-25770.443772559956,51610.88754511991,51815.49080771224,True,
"(0, 0, 0)","(0, 0, 0, 0)",-26785.97466078776,53639.94932157552,53838.72008130243,True,
