term,estimate,pvalue
is_weekend,-4584.747840486541,0.0
is_holiday,-7604.1532327205205,0.0
day_of_week_6,-5052.8144317690085,0.0
sigma2,2013128.565348775,0.0
day_of_week_1,1616.1158009309588,1.398225652355942e-67
ar.L1,0.9770117721553621,1.2657966127047038e-64
ma.L1,-0.9245944130617858,3.0424478229017652e-56
day_of_week_2,1956.9010883366786,2.816783046890942e-50
is_holiday_eve,-1718.0098667955697,7.197059804393079e-50
day_of_week_3,1927.3939700310118,1.7617193280592096e-41
is_post_holiday,-1688.8900285120728,4.300506182006062e-33
day_of_week_4,1452.940455914538,3.5519765112620693e-26
day_of_week_5,468.066589907771,1.1302772510474648e-12
annual_cos_1,3687.763606690602,1.1078511325640528e-06
ar.L2,-0.21543196715033083,7.2094583316556305e-06
annual_cos_2,-1313.643058024903,0.0025246171432583013
is_month_start,-305.7034825554926,0.022764314092083224
is_month_end,-258.3185829310315,0.07389505971538167
annual_sin_2,662.5777420916364,0.1453214416050193
month_5,-453.4964119753779,0.24558274652149958
annual_cos_3,-334.83018312762357,0.2892389378734255
annual_sin_1,695.0926798253901,0.45188451646011984
intercept,1.1116782533968952,0.4748920135411644
quarter_4,-352.7093698726661,0.5044429150903053
month_12,-284.4151943803613,0.5342673300640703
ma.L2,-0.032400441121378125,0.5674175806937449
quarter_3,-498.48921723986825,0.5862251294372011
month_3,-536.0846837427436,0.6427040556623878
quarter_2,-442.4964569513978,0.6622858558922413
month_11,-147.04702830644328,0.7418280188335267
month_9,-277.05904744616845,0.7442921291002158
annual_sin_3,57.72823602971696,0.8618311466258709
month_7,-145.91698135593546,0.8971218683777317
month_10,78.75285092867838,0.9021890108426509
month_8,-75.51318865767772,0.9225751123663499
month_2,-43.69868285402713,0.9580539117596568
month_6,27.141763840109757,0.9613377683625066
month_4,-16.141809569080632,0.9667407575203968
