date,actual,Naive,Seasonal Naive,Best ARIMA,Best ARIMAX,Best SARIMA,Best GARMA,Best GARMAX,Best SARIMAX
2025-01-01,66093.58387499,71629.25720833,66416.57704167,71853.76989695404,67972.68559267274,71952.91847935003,68021.89424240276,66805.81074855164,67049.07638435104
2025-01-02,77405.054,71629.25720833,75394.72508333,77540.85872041046,76098.2640703085,74832.4303268671,73127.41586186909,74259.00116291993,74876.32169471984
2025-01-03,80445.57866666,71629.25720833,77224.80237501,76876.70995366795,78927.89176958306,75800.3566250301,75914.81594283061,75666.59908616752,77246.73084791646
2025-01-04,76948.518375,71629.25720833,74816.18320834,78429.21284866556,74531.49281812561,70893.7322739898,75083.22092588722,71693.76442988594,72569.83146847463
2025-01-05,71794.29416667,71629.25720833,70248.53175001,78068.68964596468,69820.98354464979,66030.7686578178,71668.10839747201,67415.5300981862,67457.15214034086
2025-01-06,82590.33975,71629.25720833,74499.63329166,78522.2826819696,80009.85697822295,76147.40896714675,73630.3268942368,79229.28032325188,77501.03493084363
2025-01-07,84368.57641666,71629.25720833,71629.25720833,78380.8386884051,82002.56747111783,77363.2157417633,72226.34612695755,81620.71057339468,79063.80841256953
2025-01-08,85329.375625,71629.25720833,66416.57704167,78524.57184802069,82605.25972004233,77363.86969230958,69315.56555747344,81785.94284271573,79695.9644257499
2025-01-09,84609.98800000001,71629.25720833,75394.72508333,78479.11508623944,82763.43278507671,78084.91351054239,71996.73434679376,82134.00492995941,80175.3157358509
2025-01-10,83995.76341667,71629.25720833,77224.80237501,78531.07943339608,82429.01328057214,77685.10085702453,74689.05611117136,82080.78208862855,80066.45249047708
2025-01-11,78208.29129167,71629.25720833,74816.18320834,78522.02391124253,76969.01361066644,71549.66350474552,74914.6981536461,76270.7273105434,74225.91207912294
2025-01-12,71682.59675,71629.25720833,70248.53175001,78545.78494687399,71538.43494405094,66041.7244626475,72614.97908373478,70473.60362161802,68463.495604241
2025-01-13,81806.85420833,71629.25720833,74499.63329166,78549.68578478001,81254.08437989265,76493.2628166181,73315.03917864744,82222.42825913905,78923.36802641187
2025-01-14,83330.41658332001,71629.25720833,71629.25720833,78564.55169992104,82940.60311631214,78007.06864621093,72550.37783331196,84649.14834533418,80632.647119142
2025-01-15,83801.347375,71629.25720833,66416.57704167,78572.91716258493,83346.98228520066,77891.33511577046,70311.32579367877,85365.80324725817,81081.44590484974
2025-01-16,85495.49266666,71629.25720833,75394.72508333,78584.92899931256,83380.07137855157,78336.90080327154,71522.39624412749,85558.4092366024,81289.61134281823
2025-01-17,86726.92479167,71629.25720833,77224.80237501,78594.8057929814,82966.34472115323,77781.51042916608,73715.83885127795,85244.678068402,80987.26093358528
2025-01-18,81403.10833334,71629.25720833,74816.18320834,78605.89174278923,77456.27023622065,71516.0383125964,74516.17025568256,78897.55903688865,74959.9361950403
2025-01-19,76694.18395833,71629.25720833,70248.53175001,78616.2749668211,71994.16480255514,65947.36871289834,73161.38682109541,72554.06333398154,69089.53879269166
2025-01-20,88385.43225,71629.25720833,74499.63329166,78627.0584763946,81689.95795876595,76450.7089948276,73257.14460715743,84252.56845964957,79590.02690915385
2025-01-21,91683.55695833999,71629.25720833,71629.25720833,78637.61039526924,83363.87037679584,78008.2264690001,72757.71621628414,86384.49244601223,81305.94747552073
2025-01-22,93146.47437499999,71629.25720833,66416.57704167,78648.29469270592,83762.05341660685,77884.10096400167,71063.72406300162,86888.6656706763,81717.87970464175
2025-01-23,91952.31916667,71629.25720833,75394.72508333,78658.90260782726,83789.53218975053,78300.14878412208,71416.78424195279,86957.02447954318,81877.55871472374
2025-01-24,90610.89420834,71629.25720833,77224.80237501,78669.55427528429,83371.60844990246,77727.84776674966,73022.012129078,86621.38071966698,81537.0315354428
2025-01-25,83354.15425001,71629.25720833,74816.18320834,78680.18073883707,77857.99593616548,71447.5884047402,74040.58368297182,80210.03868043762,75472.07235789923
2025-01-26,76669.31654166,71629.25720833,70248.53175001,78690.8216576505,72392.52600493148,65871.85116103663,73404.14325168151,73835.87448012792,69574.20778876486
2025-01-27,87644.47295833999,71629.25720833,74499.63329166,78701.45425757105,82084.81534052876,76381.20501193669,73287.37324167378,85839.8758259899,80066.7618022757
2025-01-28,89118.80220834,71629.25720833,71629.25720833,78712.09163228913,83754.88290000416,77943.73460997864,72909.4940370107,88100.31359637475,81769.65045652725
2025-01-29,89109.522625,71629.25720833,66416.57704167,78722.72626077496,84148.75003539586,77818.49446722226,71629.49879786678,88667.63106876396,82162.16393863357
2025-01-30,87435.38429166,71629.25720833,75394.72508333,78733.36246624152,84171.35828775013,78230.9755595605,71507.70017457884,88691.70968259328,82300.33953424815
2025-01-31,84288.29687499,71629.25720833,77224.80237501,78743.99776502894,83489.63750150551,77656.6339433758,72574.7760998397,88057.74332611998,81774.9338795291
2025-02-01,78937.68916666,71629.25720833,74816.18320834,78754.63358460693,77878.82153968372,71374.61562078873,73584.27498522286,81230.85739304495,75720.454139798
2025-02-02,73801.73558333999,71629.25720833,70248.53175001,78765.26910482276,72712.27357941917,65798.05130082955,73440.54254130054,74573.87041725374,69867.32349436934
2025-02-03,86819.54804167,71629.25720833,74499.63329166,78775.90479701897,82397.10846489691,76308.1339728275,73318.68637011891,86445.92904663262,80341.85096230164
2025-02-04,89394.80504167,71629.25720833,71629.25720833,78786.5403903698,84059.0435587023,77871.28158216653,73023.18070508752,88463.4461019727,82025.55453493838
2025-02-05,90486.01120834,71629.25720833,66416.57704167,78797.17604051197,84444.09959421075,77745.9403823337,72054.04913919981,88779.60040111125,82397.56261198517
2025-02-06,90475.78325,71629.25720833,75394.72508333,78807.81165801598,84457.22082107134,78158.03247961799,71692.58288364283,88594.70599672203,82514.50510455093
2025-02-07,90607.33966667,71629.25720833,77224.80237501,78818.4472942733,84023.66097165922,77583.48195368523,72322.35317842475,87895.33086433087,82131.80481870603
2025-02-08,82932.17270832,71629.25720833,74816.18320834,78829.08291975353,78493.10775165397,71301.2875906514,73198.07616321996,80997.7783058478,76023.76509670477
2025-02-09,77773.06416666,71629.25720833,70248.53175001,78839.71855142631,73009.38150808196,65724.656675413,73354.07827821038,74159.16788547492,70083.4105239359
2025-02-10,90970.59645833,71629.25720833,74499.63329166,78850.35417954049,82682.09846637574,76234.85583807697,73315.31173573226,85752.53061636024,80535.52493988663
2025-02-11,93227.74791667,71629.25720833,71629.25720833,78860.98980969949,84331.28479546773,77798.10657766536,73100.58381377629,87565.36196294511,82196.28434070636
2025-02-12,93907.32004167,71629.25720833,66416.57704167,78871.62543868343,84702.97486988852,77672.78351892714,72369.94083712455,87758.93680600805,82544.81124802532
2025-02-13,92957.77249999999,71629.25720833,75394.72508333,78882.26106834259,84702.12785506697,78084.85968943246,71910.9190341752,87518.46145825926,82637.83188120095
2025-02-14,91572.65333333,71629.25720833,77224.80237501,78892.89669761375,84254.01361155914,77510.3144156812,72212.44689013979,86817.18364935346,82230.84154994742
2025-02-15,85123.11908334,71629.25720833,74816.18320834,78903.53232710785,78708.33713245596,71228.12915623948,72901.34438278341,80044.13462896927,76098.13897126315
2025-02-16,79934.99183334,71629.25720833,70248.53175001,78914.16795647384,73208.93716326839,65651.52024442155,73208.69629815263,73361.80899326924,70132.79212425939
2025-02-17,93175.29241666,71629.25720833,74499.63329166,78924.80358591345,82865.4493932892,76161.76300297977,73271.0064629886,84911.10256755598,80559.62807116509
2025-02-18,93085.31824999,71629.25720833,71629.25720833,78935.43921531076,84497.92047584656,77725.05576752627,73141.1556105272,86775.74749407206,82194.78315560677
2025-02-19,92258.32345834,71629.25720833,66416.57704167,78946.07484473237,84852.40624543118,77599.76471601655,72599.8619758134,86973.26810798052,82517.39784272297
2025-02-20,93766.28433333,71629.25720833,75394.72508333,78956.71047414001,84833.88825729775,78011.86888007665,72127.65394165879,86695.35890366246,82584.23036248083
2025-02-21,94146.51479166001,71629.25720833,77224.80237501,78967.34610355568,84367.6596449278,77437.35410012999,72199.58210506568,85968.62928038689,82150.80508756878
2025-02-22,86149.76758333,71629.25720833,74816.18320834,78977.98173296674,78803.449509425,71155.19979034447,72694.00884079211,79230.75442363806,75991.4396320075
2025-02-23,80895.36504167,71629.25720833,70248.53175001,78988.61736238045,73285.1214900717,65578.62335034506,73048.67571036368,72568.52329559402,69999.22754860489
2025-02-24,93950.64279167,71629.25720833,74499.63329166,78999.25299179264,82922.33690504347,76088.9011275,73194.25998212749,83954.48972697495,80399.02162336373
2025-02-25,95817.47004166999,71629.25720833,71629.25720833,79009.88862120571,84535.16871974102,77652.22872555163,73146.96546539063,85780.2457360049,82006.97289387212
2025-02-26,95880.76445833,71629.25720833,66416.57704167,79020.52425061827,84869.69971079422,77526.97132620806,72760.25233013179,85986.23400281226,82302.24439746607
2025-02-27,95115.65608334,71629.25720833,75394.72508333,79031.15988003112,84830.93895143356,77939.1086690754,72323.31951997838,85719.47893244638,82341.61891607214
2025-02-28,94626.06116666,71629.25720833,77224.80237501,79041.79550944381,84085.88903079156,77364.62736272899,72247.21534401533,84812.17521216915,81716.39155335916
2025-03-01,85248.83425,71629.25720833,74816.18320834,79052.43113885658,77961.17381839493,71082.50658025245,72565.42114698229,77985.83705346796,74240.63641894967
2025-03-02,79790.92699999,71629.25720833,70248.53175001,79063.0667682693,72727.61256486842,65505.9638470297,72901.43194703257,71417.36889991575,68285.67525109883
2025-03-03,85899.345625,71629.25720833,74499.63329166,79073.70239768206,82343.71798356352,76016.27563127114,73098.86991724707,82606.37472534433,78657.78871588646
2025-03-04,85094.20129167,71629.25720833,71629.25720833,79084.3380270948,83935.29607533265,77579.63721456783,73123.42744728415,84367.24523220818,80238.06130774335
2025-03-05,90822.35654168,71629.25720833,66416.57704167,79094.97365650754,84248.45940341415,77454.41366115023,72864.11338677675,84614.82297011299,80505.67921896263
2025-03-06,93292.82408334,71629.25720833,75394.72508333,79105.60928592029,84188.24700273703,77866.58479411853,72488.18882539413,84419.19456977196,80517.44853076036
2025-03-07,93102.42633333,71629.25720833,77224.80237501,79116.24491533304,83680.01012342707,77292.13731263617,72327.56379818585,83778.18090155342,80028.9409258901
2025-03-08,86345.439875,71629.25720833,74816.18320834,79126.88054474579,78073.5365053916,71010.05036135754,72500.28614036775,77265.96432874787,73814.51962135285
2025-03-09,79591.78987501,71629.25720833,70248.53175001,79137.51617415853,72512.74883346834,65433.54148049733,72781.35617098166,70830.8774824253,67767.32458182782
