order,seasonal_order,log_likelihood,AIC,BIC,converged,error
"(2, 1, 2)","(1, 1, 1, 7)",-22841.467513355918,45698.935026711835,45745.651231365475,True,
"(1, 1, 2)","(1, 1, 1, 7)",-22849.833664581005,45713.66732916201,45754.54400823394,True,
"(2, 1, 2)","(0, 1, 1, 7)",-22857.183525891636,45728.36705178327,45769.2437308552,True,
"(2, 1, 1)","(1, 1, 1, 7)",-22857.88550443503,45729.77100887006,45770.65044439015,True,
"(1, 1, 2)","(0, 1, 1, 7)",-22864.581795083373,45741.16359016675,45776.20074365698,True,
"(2, 1, 1)","(0, 1, 1, 7)",-22871.032563240526,45754.06512648105,45789.10464264113,True,
"(1, 1, 1)","(1, 1, 1, 7)",-22887.49690045613,45786.99380091226,45822.03331707234,True,
"(1, 1, 1)","(0, 1, 1, 7)",-22897.58250050216,45805.16500100432,45834.364597804386,True,
"(1, 1, 1)","(1, 0, 1, 7)",-22930.519099862613,45873.038199725226,45908.0942285751,True,
"(2, 0, 1)","(1, 1, 1, 7)",-22940.716735806443,45895.43347161289,45936.31566249613,True,
"(2, 0, 1)","(0, 1, 1, 7)",-22943.762011857005,45899.52402371401,45934.56590161393,True,
"(1, 0, 2)","(1, 1, 1, 7)",-22947.663426072042,45909.326852144084,45950.20628766417,True,
"(1, 0, 2)","(0, 1, 1, 7)",-22949.168753469505,45910.33750693901,45945.377023099085,True,
"(0, 1, 2)","(1, 1, 1, 7)",-22951.454699236114,45914.90939847223,45949.94655196246,True,
"(0, 1, 2)","(0, 1, 1, 7)",-22960.040108625933,45930.08021725187,45959.27784516039,True,
"(1, 0, 1)","(1, 1, 1, 7)",-22967.097593833103,45946.195187666206,45981.23706556613,True,
"(2, 1, 0)","(1, 1, 1, 7)",-22979.132301222493,45970.264602444986,46005.30411860506,True,
"(2, 0, 0)","(0, 1, 1, 7)",-22991.51497512322,45993.02995024644,46022.23348250519,True,
"(2, 1, 0)","(0, 1, 1, 7)",-22999.628505176264,46009.25701035253,46038.45857526913,True,
"(1, 0, 0)","(1, 1, 1, 7)",-23000.29719764737,46010.59439529474,46039.79792755349,True,
"(0, 1, 1)","(1, 1, 1, 7)",-23002.879750893786,46015.75950178757,46044.959098587635,True,
"(0, 1, 0)","(1, 1, 1, 7)",-23012.396557653843,46032.793115307686,46056.15436724097,True,
"(1, 1, 0)","(1, 1, 1, 7)",-23012.39459996094,46034.78919992188,46063.990764838476,True,
"(0, 1, 1)","(0, 1, 1, 7)",-23014.964877694263,46037.929755388526,46061.28943282858,True,
"(2, 0, 2)","(1, 1, 1, 7)",-23011.071632046234,46038.14326409247,46084.86261897257,True,
"(2, 0, 2)","(0, 1, 1, 7)",-23012.634412857176,46039.26882571435,46080.14826123444,True,
"(0, 1, 0)","(0, 1, 1, 7)",-23024.418641466196,46054.83728293239,46072.35822188235,True,
"(1, 1, 0)","(0, 1, 1, 7)",-23024.316294025833,46056.63258805167,46079.99383998495,True,
"(2, 0, 0)","(1, 1, 1, 7)",-23054.67000261383,46121.34000522766,46156.381883127586,True,
