order,seasonal_order,log_likelihood,AIC,BIC,converged,error
"(2, 1, 2)","(1, 1, 1, 7)",-22065.385887843957,44210.771775687914,44444.352798956104,True,
"(1, 1, 2)","(1, 1, 1, 7)",-22072.664072414227,44223.328144828454,44451.069642514936,True,
"(2, 1, 1)","(1, 1, 1, 7)",-22079.83836096567,44237.67672193134,44465.43357697183,True,
"(2, 1, 2)","(0, 1, 1, 7)",-22089.382906209707,44256.76581241941,44484.507310105895,True,
"(1, 1, 2)","(0, 1, 1, 7)",-22091.800408104787,44259.600816209575,44481.502788314356,True,
"(2, 1, 1)","(0, 1, 1, 7)",-22098.085146155812,44272.170292311625,44494.0872279921,True,
"(2, 0, 1)","(1, 1, 1, 7)",-22142.55704181787,44363.11408363574,44590.886289985225,True,
"(1, 1, 1)","(1, 0, 1, 7)",-22152.731831439123,44381.46366287825,44603.48517892747,True,
"(1, 0, 2)","(1, 1, 1, 7)",-22156.28422839944,44390.56845679888,44618.32531183937,True,
"(0, 1, 2)","(1, 1, 1, 7)",-22159.892613296022,44395.785226592045,44617.687198696825,True,
"(2, 1, 0)","(1, 1, 1, 7)",-22160.81039801243,44397.62079602486,44619.537731705335,True,
"(1, 0, 2)","(0, 1, 1, 7)",-22166.826433272225,44409.65286654445,44631.56980222493,True,
"(0, 1, 2)","(0, 1, 1, 7)",-22177.513024402142,44429.026048804284,44645.088495327356,True,
"(1, 0, 1)","(1, 1, 1, 7)",-22181.05028337542,44438.10056675084,44660.03246011701,True,
"(1, 1, 1)","(1, 1, 1, 7)",-22183.20758548307,44442.41517096614,44664.332106646616,True,
"(2, 1, 0)","(0, 1, 1, 7)",-22188.236470060896,44450.47294012179,44666.56452050464,True,
"(1, 1, 1)","(0, 1, 1, 7)",-22204.446566403385,44482.89313280677,44698.970149127235,True,
"(1, 0, 0)","(1, 1, 1, 7)",-22269.73282243026,44613.46564486052,44829.571783575244,True,
"(2, 0, 1)","(0, 1, 1, 7)",-22274.041776336475,44624.08355267295,44846.01544603911,True,
"(2, 0, 0)","(0, 1, 1, 7)",-22314.81303643931,44703.62607287862,44919.73221159335,True,
