term,estimate,pvalue
is_holiday,-7252.862935083656,0.0
ma.S.L7,-0.9681232749271144,0.0
sigma2,1957128.6774226213,0.0
ar.L1,1.0458773029638493,3.38661044781176e-49
is_holiday_eve,-1530.4486011436497,2.9871686918134074e-40
ma.L1,-0.9541804654833043,4.028237030709675e-40
is_post_holiday,-1396.413865330497,4.004712360238032e-23
ar.S.L7,0.13481773415477488,1.6756009338897297e-18
annual_cos_1,4868.857079177144,7.627583435805107e-06
ar.L2,-0.2789369495636013,1.567748754114689e-05
annual_sin_1,5307.373479186299,7.525081997676037e-05
month_5,-1313.0296081776044,8.071093305909809e-05
month_11,-621.7754826529155,0.06001201502532234
quarter_2,-1572.8618764448493,0.06550386328357549
annual_cos_2,-912.0009796816014,0.1096406252446769
month_3,-1455.9234423544947,0.1139232370419983
annual_sin_2,964.8178545456626,0.11825356486244613
quarter_3,-1008.112560286875,0.17042412992705647
is_month_end,-164.25347688251773,0.22859815749005685
month_8,-757.8029536176383,0.2786881822266797
quarter_4,-392.8227516245595,0.3466717224257253
month_12,259.25416670413074,0.4334371916280091
month_4,-195.17701690448135,0.5582139107325017
month_9,344.9246281322856,0.5809571084089107
is_month_start,-64.91126999145754,0.6000188478112873
month_7,-595.234121891191,0.6016178843655727
ma.L2,0.03192058341460791,0.6533574564034939
annual_cos_3,-122.50198641847933,0.7710281518717108
annual_sin_3,92.86212538113199,0.8127077156468451
intercept,-0.022357764210050108,0.8158399585620371
month_6,-64.65514010331458,0.8923939771352796
month_2,-67.80791657043763,0.9224290070666328
month_10,-30.30156402074892,0.954348969159844
day_of_week_6,4.070798413886817,0.9963216200099786
is_weekend,2.449551136994792,0.9991153640260875
day_of_week_5,-1.621343044615833,0.9995112599289893
day_of_week_1,0.9180823366247747,0.9998492613040334
day_of_week_3,-0.5066666896224616,0.999949583205868
day_of_week_4,0.38866639953011706,0.9999594956351199
day_of_week_2,-0.01695117488819755,0.999998108276251
